name,neighbourhood_name,latitude,longitude,room_type,bathrooms,bedrooms,price,last_review_date,review_scores_rating,country,city,insert_date
EXCEPTIONAL LOCATION Double room+Wifitakeaway,La vila de gràcia,"41,398701238261474","2,1616025719212906",Private room,"2,0","1,0","70,0",2018-04-07,"97,0",España,Barcelona,2018-04-12
"Loft céntrico, acogedor, luminoso y con ascensor",La roqueta,"39,46705","-0,38065",Entire home/apt,"1,0",nan,"42,0",2020-09-01,"88,0",España,Valencia,2020-09-28
Bel appart en front de mer - Baie de Rosas - WiFi,Roses,"42,26601753243792","3,1637436397571426",Entire home/apt,"1,0","1,0","51,0",2018-10-05,"99,0",España,Girona,2018-10-20
Modern & Stylish in Plaza Espana with Balcony,Hostafrancs,"41,37550752601644","2,1432986755694072",Entire home/apt,"1,0","2,0","120,0",2019-02-01,"80,0",España,Barcelona,2019-02-06
Appart in the centre + barbecue at 150m to beach,Roses,"42,2617219489307","3,1779744524537707",Entire home/apt,"1,0","1,0","400,0",2018-08-11,"89,0",España,Girona,2018-10-20
MADRID SANTIAGO BERNABEU. CASA ENTERA O HABITACIÓN,Ciudad jardín,"40,44637","-3,67523",Entire home/apt,"2,0","2,0","40,0",2016-09-30,"100,0",España,Madrid,2019-03-08
Preciosa Casa a 10 min. de las playas d'Empúries,L'escala,"42,1213","3,12708",Entire home/apt,"1,0","2,0","65,0",2019-11-03,"95,0",España,Girona,2020-01-31
"☼MESTRE, prächtiges Haus in ruhiger Lage mit Pool!",Selva,"39,76218","2,89955",Entire home/apt,"3,0","4,0","262,0",2018-09-07,"80,0",España,Mallorca,2019-06-27
good vibes 2,L'antiga esquerra de l'eixample,"41,3859988316706","2,155297614487678",Private room,"1,0","1,0","45,0",2016-08-04,"93,0",España,Barcelona,2017-02-09
Bonita habitación en Atocha!!!,Palos de moguer,"40,40441","-3,69428",Private room,"1,0","1,0","35,0",2020-03-08,"87,0",España,Madrid,2020-05-14
Views to Sagrada Familia from a modernist building,La sagrada família,"41,40345","2,17125",Entire home/apt,"1,0","2,0","102,0",2019-05-21,"97,0",España,Barcelona,2019-06-07
"LA LATINA, LIVE AND EXPERIENCE, AC ALL FLAT",Embajadores,"40,41026","-3,70907",Entire home/apt,"1,0","2,0","73,0",2020-03-11,"96,0",España,Madrid,2020-06-13
Nice double room in Park Güell,Can baró,"41,41629854949485","2,1585730633039635",Private room,"2,0","1,0","30,0",2017-07-15,"87,0",España,Barcelona,2017-08-06
Beach Villa Bellavista - Seaside Villa Rental on Menorca Island,Alaior,"39,87132","4,13456",Entire home/apt,"3,0","2,0","136,0",2019-11-07,"96,0",España,Menorca,2020-03-26
COSY QUIET front Sagrada Familia! PERFECT LOCATION,La sagrada família,"41,40569","2,17175",Private room,"1,0","1,0","33,0",2019-10-28,"95,0",España,Barcelona,2019-11-09
Beautiful room in the heart of the Gothic Quarter,El barri gòtic,"41,38453219043654","2,174748548756517",Private room,"1,0","1,0","55,0",2017-09-24,"100,0",España,Barcelona,2018-07-10
Double room at sweet home :),Pio xii,"37,40529","-5,97823",Private room,"1,0","1,0","40,0",2019-06-02,"97,0",España,Sevilla,2019-10-30
2B Figueres - Empordà - Costa Brava,Figueres,"42,26791","2,95977",Entire home/apt,"1,0","1,0","90,0",2019-02-03,"90,0",España,Girona,2019-05-29
Piso valencia capital,Favara,"39,45518","-0,39743",Entire home/apt,"2,0","3,0","32,0",2019-12-01,"67,0",España,Valencia,2020-02-29
APARTAMENT RURAL I ROMANTIC,Cornellà del terri,"42,0976","2,79265",Entire home/apt,"1,0","1,0","70,0",2019-07-03,"96,0",España,Girona,2019-08-31
Agréable villa à 10 min à pied de la plage,Castelló d'empúries,"42,24251261228338","3,120062873146446",Entire home/apt,"1,0","3,0","214,0",2017-08-26,"100,0",España,Girona,2018-08-30
Apartamento con piscina en Platja D'Aro,Castell-platja d'aro,"41,83205135018347","3,07399523045362",Entire home/apt,"1,0","3,0","87,0",2018-08-05,"95,0",España,Girona,2018-10-20
QUITE ROOM IN CENTRAL BARCELONA (PLAZA ESPAÑA),El poble sec,"41,3743545492133","2,155903549989384",Private room,"1,0","1,0","35,0",2018-04-01,"100,0",España,Barcelona,2018-04-12
LA CASA DE LA PUERTA REAL. CENTRO CENTRO,Museo,"37,39314","-6,00211",Entire home/apt,"1,0","2,0","75,0",2019-11-03,"100,0",España,Sevilla,2019-11-29
Charming apartment for couples in Chueca,Justicia,"40,42575","-3,69286",Entire home/apt,"1,0","0,0","50,0",2019-04-08,"96,0",España,Madrid,2019-04-11
WONDERFUL PENTHOUSE IN BARCELONA CENTER,La nova esquerra de l'eixample,"41,38403089827835","2,1532591108820625",Entire home/apt,"1,0","1,0","95,0",2017-05-30,"80,0",España,Barcelona,2017-06-05
A) IN STRATEGIC & BEAUTIFUL PLACE,Celrà,"42,02257","2,88325",Private room,"1,0","2,0","45,0",2019-06-03,"99,0",España,Girona,2019-06-30
Bonito apto. de diseño con todas las comodidades,Numancia,"40,401450869803554","-3,6617642644868655",Entire home/apt,"1,0","2,0","79,0",2017-01-01,"97,0",España,Madrid,2017-03-06
Double room in the core of the modernist Barcelona,La dreta de l'eixample,"41,39480436876287","2,1583663008102905",Private room,"1,0","1,0","40,0",2018-04-04,"97,0",España,Barcelona,2018-04-12
2296 - AB Aragó Apartment 3-C - Stylish Apartment with a Communal Terrace in Eixample,L'antiga esquerra de l'eixample,"41,38634","2,15662",Entire home/apt,"2,0","2,0","350,0",2019-09-11,"90,0",España,Barcelona,2019-12-10
Royal Palace Wifi/AC &Lift,Argüelles,"40,42073","-3,71785",Entire home/apt,"1,0","1,0","55,0",2019-04-30,"96,0",España,Madrid,2019-05-14
Holiday home with pool near the beach – Casa Linda,Llucmajor,"39,47565","2,75601",Entire home/apt,"2,0","4,0","220,0",2019-07-01,"90,0",España,Mallorca,2020-11-08
"Baby-friendly, couple, travel friends",La vila de gràcia,"41,40032757530641","2,163437230805326",Private room,"1,0","2,0","30,0",2018-06-10,"100,0",España,Barcelona,2018-07-10
Cool double room in Malasaña,Trafalgar,"40,43018","-3,6993",Private room,"1,0","1,0","56,0",2020-03-07,"100,0",España,Madrid,2020-08-25
